family,mass_msun,status,t_sf_myr,t_quench_myr,quench_lower_bound_myr,max_r_over_R0,wall_seconds
fig8_f001_c01,464158883.3612773,numerical_failure,,,,,0.12652555480599403
fig8_f001_c01,681292069.0579622,numerical_failure,,,,,0.12105027958750725
fig8_f001_c01,1000000000.0,numerical_failure,,,,,0.11890941858291626
fig8_f001_c01,1467799267.6220675,numerical_failure,,,,,0.12963160127401352
fig8_f001_c01,2154434690.0318866,numerical_failure,,,,,0.14232314378023148
fig8_f001_c01,3162277660.1683793,numerical_failure,,,,,0.1547442004084587
fig8_f001_c01,4641588833.612773,numerical_failure,,,,,0.16356677189469337
fig8_f001_c01,6812920690.579622,numerical_failure,,,,,0.1560748592019081
fig8_f001_c01,10000000000.0,numerical_failure,,,,,0.16568591445684433
fig8_f001_c01,14677992676.220675,numerical_failure,,,,,0.18078991770744324
fig8_f001_c01,21544346900.31878,numerical_failure,,,,,0.21005785837769508
fig8_f001_c01,31622776601.683792,not_launched_within_window,,,,1.0,0.22092557698488235
fig8_f001_c01,46415888336.12772,not_launched_within_window,,,,1.0,0.22327478975057602
fig8_f001_c01,68129206905.795944,not_launched_within_window,,,,1.0,0.22333832830190659
fig8_f001_c01,100000000000.0,not_launched_within_window,,,,1.0,0.21993713453412056
fig8_f001_c01,146779926762.20676,not_launched_within_window,,,,1.0,0.22430839389562607
fig8_f001_c01,215443469003.18777,not_launched_within_window,,,,1.0,0.22517431154847145
fig8_f001_c01,316227766016.83795,not_launched_within_window,,,,1.0,0.21799028292298317
fig8_f001_c01,464158883361.2773,not_launched_within_window,,,,1.0,0.21825645491480827
fig8_f001_c01,681292069057.9595,not_launched_within_window,,,,1.0,0.2271546609699726
fig8_f001_c01,1000000000000.0,not_launched_within_window,,,,1.0,0.21984513849020004
fig8_f001_c01,1467799267622.0676,not_launched_within_window,,,,1.0,0.2193889543414116
fig8_f001_c01,2154434690031.878,not_launched_within_window,,,,1.0,0.2225482575595379
fig8_f001_c01,3162277660168.3794,not_launched_within_window,,,,1.0,0.21505668014287949
fig8_f001_c01,4641588833612.772,not_launched_within_window,,,,1.0,0.22187035530805588
fig8_f001_c01,6812920690579.595,not_launched_within_window,,,,1.0,0.2196611613035202
fig8_f001_c01,10000000000000.0,not_launched_within_window,,,,1.0,0.22296804562211037
fig8_f001_c005,100000000.0,completed_cycle,6.762697563462058,58.17819540471717,,1.3205482328417781,0.2562709301710129
fig8_f001_c005,146779926.76220676,completed_cycle,7.975582474842977,49.88607928956817,,1.2279297496476553,0.2651395685970783
fig8_f001_c005,215443469.00318867,numerical_failure,,,,,0.11632132530212402
fig8_f001_c005,316227766.01683795,numerical_failure,,,,,0.11947503313422203
fig8_f001_c005,464158883.3612773,numerical_failure,,,,,0.11730718985199928
fig8_f001_c005,681292069.0579622,numerical_failure,,,,,0.12441371753811836
fig8_f001_c005,1000000000.0,numerical_failure,,,,,0.12260035797953606
fig8_f001_c005,1467799267.6220675,numerical_failure,,,,,0.127777349203825
fig8_f001_c005,2154434690.0318866,numerical_failure,,,,,0.1351148709654808
fig8_f001_c005,3162277660.1683793,numerical_failure,,,,,0.14597903192043304
fig8_f001_c005,4641588833.612773,numerical_failure,,,,,0.1680092252790928
fig8_f001_c005,6812920690.579622,numerical_failure,,,,,0.16599031537771225
fig8_f001_c005,10000000000.0,numerical_failure,,,,,0.20275747776031494
fig8_f001_c005,14677992676.220675,numerical_failure,,,,,0.19025228917598724
fig8_f001_c005,21544346900.31878,not_launched_within_window,,,,1.0,0.22649675980210304
fig8_f001_c005,31622776601.683792,not_launched_within_window,,,,1.0,0.22060243040323257
fig8_f001_c005,46415888336.12772,not_launched_within_window,,,,1.0,0.22010261192917824
fig8_f001_c005,68129206905.795944,not_launched_within_window,,,,1.0,0.22632825374603271
fig8_f001_c005,100000000000.0,not_launched_within_window,,,,1.0,0.22138528153300285
fig8_f001_c005,146779926762.20676,not_launched_within_window,,,,1.0,0.22410909086465836
fig8_f001_c005,215443469003.18777,not_launched_within_window,,,,1.0,0.22495773434638977
fig8_f001_c005,316227766016.83795,not_launched_within_window,,,,1.0,0.2168053649365902
fig8_f001_c005,464158883361.2773,not_launched_within_window,,,,1.0,0.22130853682756424
fig8_f001_c005,681292069057.9595,not_launched_within_window,,,,1.0,0.22099408507347107
fig8_f001_c005,1000000000000.0,not_launched_within_window,,,,1.0,0.2156575210392475
fig8_f001_c005,1467799267622.0676,not_launched_within_window,,,,1.0,0.22489063069224358
fig8_f001_c005,2154434690031.878,not_launched_within_window,,,,1.0,0.22009970992803574
fig8_f001_c005,3162277660168.3794,not_launched_within_window,,,,1.0,0.22236934304237366
fig8_f001_c005,4641588833612.772,not_launched_within_window,,,,1.0,0.22174843028187752
fig8_f001_c005,6812920690579.595,not_launched_within_window,,,,1.0,0.2202647104859352
fig8_f001_c005,10000000000000.0,not_launched_within_window,,,,1.0,0.226837657392025
fig8_f001_c0005,100000000.0,numerical_failure,,,,,0.12215317413210869
fig8_f001_c0005,146779926.76220676,numerical_failure,,,,,0.13631610944867134
fig8_f001_c0005,215443469.00318867,numerical_failure,,,,,0.1279146410524845
fig8_f001_c0005,316227766.01683795,numerical_failure,,,,,0.13845061510801315
fig8_f001_c0005,464158883.3612773,numerical_failure,,,,,0.13747720420360565
fig8_f001_c0005,681292069.0579622,numerical_failure,,,,,0.15215639397501945
fig8_f001_c0005,1000000000.0,numerical_failure,,,,,0.16737104952335358
fig8_f001_c0005,1467799267.6220675,numerical_failure,,,,,0.17176183685660362
fig8_f001_c0005,2154434690.0318866,numerical_failure,,,,,0.19649196788668633
