time_myr,analytic_z6_msun,z3_chabrier_growth1,z3_chabrier_growth0,z3_topheavy_growth1,z3_topheavy_growth0,z6_chabrier_growth1,z6_chabrier_growth0,z6_topheavy_growth1,z6_topheavy_growth0,z9_chabrier_growth1,z9_chabrier_growth0,z9_topheavy_growth1,z9_topheavy_growth0
3.650000000000000000e+01,1.706519992842939758e+11,1.738494340353591919e+11,1.861357120515129395e+11,1.327913438541433350e+12,1.421100369588039307e+12,2.237489098102640076e+11,2.964139910482282715e+11,1.710310411471841064e+12,2.261396128921585938e+12,2.059210784150233459e+11,4.133727220637839355e+11,1.577216587313838623e+12,3.150836372777256348e+12
3.700000000000000000e+01,1.761006043289183350e+11,1.794617849600931091e+11,1.923266266893889160e+11,1.368800588599792236e+12,1.466228319927286133e+12,2.304435325673831787e+11,3.064932290620133057e+11,1.758967641546258545e+12,2.334849468019305664e+12,2.110154658984700623e+11,4.278195291171973877e+11,1.614007335896113525e+12,3.256086557030543945e+12
3.750000000000000000e+01,1.816465242574120483e+11,1.851742232610301514e+11,1.986365333864477539e+11,1.410340165822378174e+12,1.512139456063270996e+12,2.372339688019685669e+11,3.167766258530994873e+11,1.808227302828701904e+12,2.409653046502893555e+12,2.161393981221176453e+11,4.425777678560335693e+11,1.650933520230461426e+12,3.363407513002839355e+12
3.800000000000000000e+01,1.872901648623736877e+11,1.909870904476579895e+11,2.050661271625917358e+11,1.452532519248830078e+12,1.558836272696798828e+12,2.441198340195802612e+11,3.272657199324726562e+11,1.858084592323950439e+12,2.485813585453016113e+12,2.212915667049716797e+11,4.576504219221539917e+11,1.687985163729934814e+12,3.472813988400047852e+12
3.850000000000000000e+01,1.930319282198977051e+11,1.969007227266815186e+11,2.116160995923789978e+11,1.495377964808513916e+12,1.606321235577381348e+12,2.511007353185052185e+11,3.379620482773162842e+11,1.908534676572476074e+12,2.563337775019070801e+12,2.264706729626072083e+11,4.730404827795386353e+11,1.725152413169135986e+12,3.584320733180027832e+12
3.900000000000000000e+01,1.988722127718552246e+11,2.029154510803281555e+11,2.182871388686153259e+11,1.538876786069138184e+12,1.654596782157958984e+12,2.581762715895661926e+11,3.488671464202492676e+11,1.959572693154617188e+12,2.642232275329267090e+12,2.316754281857974854e+11,4.887509498574208984e+11,1.762425539667735840e+12,3.697942500753491211e+12
3.950000000000000000e+01,2.048114134053117981e+11,2.090316016071696167e+11,2.250799301532693787e+11,1.583029236119857422e+12,1.703665323493603516e+12,2.653460340398954468e+11,3.599825490094765015e+11,2.011193753586563721e+12,2.722503719441874512e+12,2.369045541815517578e+11,5.047848313740233765e+11,1.799794940783478516e+12,3.813694052138254395e+12
4.000000000000000000e+01,2.108499215292189941e+11,2.152494952000293884e+11,2.319951552054701233e+11,1.627835536523443604e+12,1.753529242946824951e+12,2.726096058894665833e+11,3.713097891874370728e+11,2.063392942549996582e+12,2.804158711081389648e+12,2.421567831059554443e+11,5.211451434585982666e+11,1.837251139448248535e+12,3.931590152608549316e+12
4.050000000000000000e+01,2.169881251485042419e+11,2.215694482245303650e+11,2.390334931029473877e+11,1.673295880640548096e+12,1.804190899671796143e+12,2.799665633088616943e+11,3.828503997593496094e+11,2.116165322538976807e+12,2.887203830197840820e+12,2.474308583316444702e+11,5.378349118565250854e+11,1.874784787408063477e+12,4.051645579633910645e+12
4.100000000000000000e+01,2.232264089356812439e+11,2.279917720155845947e+11,2.461956196722268066e+11,1.719410431775725098e+12,1.855652626445162354e+12,2.874164748883020630e+11,3.946059122484353638e+11,2.169505932063550537e+12,2.971645629278424316e+12,2.527255340746530151e+11,5.548571705852496338e+11,1.912386663202209473e+12,4.173875117483330566e+12
4.150000000000000000e+01,2.295651543000900269e+11,2.345167734891157532e+11,2.534822081391809082e+11,1.766179326160983643e+12,1.907916732791379883e+12,2.949589024857147827e+11,4.065778579512440796e+11,2.223409789829903320e+12,3.057490638336436035e+12,2.580395761634512939e+11,5.722149634811243896e+11,1.950047675083270996e+12,4.298293564370197266e+12
4.200000000000000000e+01,2.360047394548769531e+11,2.411447548225092773e+11,2.608939287604703064e+11,1.813602671899772705e+12,1.960985503690328613e+12,3.025934009222475586e+11,4.187677673223268433e+11,2.277871893912705078e+12,3.144745362662474121e+12,2.633717618423261108e+11,5.899113433308454590e+11,1.987758859725567871e+12,4.424915729140033203e+12
4.250000000000000000e+01,2.425455394818103027e+11,2.478760137961766357e+11,2.684314491799205933e+11,1.861680550744990234e+12,2.014861201393828125e+12,3.103195184912200317e+11,4.311771705492628174e+11,2.332887224408811523e+12,3.233416285681200684e+12,2.687208802390097046e+11,6.079493727274514160e+11,2.025511383766974121e+12,4.553756435355449219e+12
4.300000000000000000e+01,2.491879263940305786e+11,2.547108437920015564e+11,2.760954344093385620e+11,1.910413018388915527e+12,2.069546065615486328e+12,3.181367970422814941e+11,4.438075975118279419e+11,2.388450744241856445e+12,3.323509869143427734e+12,2.740857324733346558e+11,6.263321240356016846e+11,2.063296543776669678e+12,4.684830521531377930e+12
