mass_msun,alpha1.35_mc0.2,alpha1.35_mc5,alpha1.35_mc10,alpha2.35_mc0.2,alpha2.35_mc5,alpha2.35_mc10
8.777889658485292512e-02,2.133725792529271581e-02,2.130224613894513873e-280,0.000000000000000000e+00,1.811603352363548636e+00,6.429945698627746849e-278,0.000000000000000000e+00
8.840770715143302094e-02,2.204809301496418739e-02,3.166840801003578430e-277,0.000000000000000000e+00,1.858641076887974863e+00,9.490915973870150990e-275,0.000000000000000000e+00
8.904102224864660076e-02,2.277164010702305633e-02,4.332677673447933387e-274,0.000000000000000000e+00,1.905982022666302678e+00,1.289253348260036663e-271,0.000000000000000000e+00
8.967887414502945242e-02,2.350773677353599697e-02,5.460412619928621944e-271,0.000000000000000000e+00,1.953598430428541866e+00,1.613271042408338790e-268,0.000000000000000000e+00
9.032129534027524831e-02,2.425620774238494010e-02,6.345099492929202208e-268,0.000000000000000000e+00,2.001462106475993874e+00,1.861316824924063632e-265,0.000000000000000000e+00
9.096831856689174822e-02,2.501686506174206903e-02,6.804491399625128767e-265,0.000000000000000000e+00,2.049544463923037352e+00,1.981880781075723330e-262,0.000000000000000000e+00
9.161997679186831278e-02,2.578950828495551670e-02,6.740513441743050034e-262,0.000000000000000000e+00,2.097816564351601354e+00,1.949282688094315851e-259,0.000000000000000000e+00
9.227630321835574023e-02,2.657392467527424501e-02,6.173361201877104577e-259,0.000000000000000000e+00,2.146249159775586612e+00,1.772570530792108171e-256,0.000000000000000000e+00
9.293733128735820470e-02,2.736988942979712292e-02,5.232011332351752367e-256,0.000000000000000000e+00,2.194812734813573307e+00,1.491593570299340825e-253,0.000000000000000000e+00
9.360309467943672690e-02,2.817716592199421416e-02,4.106921751448872464e-253,0.000000000000000000e+00,2.243477548969799784e+00,1.162514142534827236e-250,0.000000000000000000e+00
9.427362731642574545e-02,2.899550596211337636e-02,2.988430001873594275e-250,0.000000000000000000e+00,2.292213678925265175e+00,8.398948037344025896e-248,0.000000000000000000e+00
9.494896336316106800e-02,2.982465007475046045e-02,2.017541619453780356e-247,0.000000000000000000e+00,2.340991060742776408e+00,5.629946903698758309e-245,0.000000000000000000e+00
9.562913722922082582e-02,3.066432779283391474e-02,1.264807043006187690e-244,0.000000000000000000e+00,2.389779531892259001e+00,3.504338595291626471e-242,0.000000000000000000e+00
9.631418357067880742e-02,3.151425796724650896e-02,7.369089173390547943e-242,0.000000000000000000e+00,2.438548873005170758e+00,2.027195289863234161e-239,0.000000000000000000e+00
9.700413729186997680e-02,3.237414909128259050e-02,3.993487861543349843e-239,0.000000000000000000e+00,2.487268849269664628e+00,1.090772386976344265e-236,0.000000000000000000e+00
9.769903354716924504e-02,3.324369963911982112e-02,2.014638361913243367e-236,0.000000000000000000e+00,2.535909251381211149e+00,5.463599490014735214e-234,0.000000000000000000e+00
9.839890774278227392e-02,3.412259841746367178e-02,9.468934271513717768e-234,0.000000000000000000e+00,2.584439935966499569e+00,2.549663391657924043e-231,0.000000000000000000e+00
9.910379553854975487e-02,3.501052492951066408e-02,4.149669078869271110e-231,0.000000000000000000e+00,2.632830865401903697e+00,1.109417982602316466e-228,0.000000000000000000e+00
9.981373284976434446e-02,3.590714975036121692e-02,1.696990111724753204e-228,0.000000000000000000e+00,2.681052146951210080e+00,4.504649845214921781e-226,0.000000000000000000e+00
1.005287558490003952e-01,3.681213491300414087e-02,6.480967564165530437e-226,0.000000000000000000e+00,2.729074071150939140e+00,1.708132532884075169e-223,0.000000000000000000e+00
1.012489009679572588e-01,3.772513430398900802e-02,2.313302373618732657e-223,0.000000000000000000e+00,2.776867149375441990e+00,6.053605420237493037e-221,0.000000000000000000e+00
1.019742048993153710e-01,3.864579406789585975e-02,7.723079010585293079e-221,0.000000000000000000e+00,2.824402150517610455e+00,2.006652517208281057e-218,0.000000000000000000e+00
1.027047045986059365e-01,3.957375301971241544e-02,2.413480440459849822e-218,0.000000000000000000e+00,2.871650136725133251e+00,6.226234446203368089e-216,0.000000000000000000e+00
1.034404372860937699e-01,4.050864306422738426e-02,7.065099597301854453e-216,0.000000000000000000e+00,2.918582498136021108e+00,1.809672408100103579e-213,0.000000000000000000e+00
