fig8_f001_c1 M=1e+10: completed_cycle; SF=48.1697202243464; quench=61.435185682709864; 0.259s; cached=False
fig8_f001_c1 M=1.47e+10: completed_cycle; SF=59.481823151675044; quench=52.01761746862651; 0.254s; cached=False
fig8_f001_c1 M=2.15e+10: completed_cycle; SF=77.07673222160797; quench=28.63230889852383; 0.239s; cached=False
fig8_f001_c1 M=3.16e+10: not_launched_within_window; SF=None; quench=None; 0.199s; cached=False
fig8_f001_c1 M=4.64e+10: not_launched_within_window; SF=None; quench=None; 0.191s; cached=False
fig8_f001_c1 M=6.81e+10: not_launched_within_window; SF=None; quench=None; 0.208s; cached=False
fig8_f001_c1 M=1e+11: not_launched_within_window; SF=None; quench=None; 0.196s; cached=False
fig8_f001_c1 M=1.47e+11: not_launched_within_window; SF=None; quench=None; 0.196s; cached=False
fig8_f001_c1 M=2.15e+11: not_launched_within_window; SF=None; quench=None; 0.195s; cached=False
fig8_f001_c1 M=3.16e+11: not_launched_within_window; SF=None; quench=None; 0.194s; cached=False
fig8_f001_c1 M=4.64e+11: not_launched_within_window; SF=None; quench=None; 0.190s; cached=False
fig8_f001_c1 M=6.81e+11: not_launched_within_window; SF=None; quench=None; 0.195s; cached=False
fig8_f001_c1 M=1e+12: not_launched_within_window; SF=None; quench=None; 0.191s; cached=False
fig8_f001_c1 M=1.47e+12: not_launched_within_window; SF=None; quench=None; 0.188s; cached=False
fig8_f001_c1 M=2.15e+12: not_launched_within_window; SF=None; quench=None; 0.195s; cached=False
fig8_f001_c1 M=3.16e+12: not_launched_within_window; SF=None; quench=None; 0.195s; cached=False
fig8_f001_c1 M=4.64e+12: not_launched_within_window; SF=None; quench=None; 0.197s; cached=False
fig8_f001_c1 M=6.81e+12: not_launched_within_window; SF=None; quench=None; 0.202s; cached=False
fig8_f001_c1 M=1e+13: not_launched_within_window; SF=None; quench=None; 0.194s; cached=False
fig8_f001_c01 M=1e+08: completed_cycle; SF=6.5133912481141145; quench=111.54672786010059; 0.290s; cached=False
fig8_f001_c01 M=1.47e+08: completed_cycle; SF=7.65009164304141; quench=101.13712663154851; 0.266s; cached=False
fig8_f001_c01 M=2.15e+08: completed_cycle; SF=9.001215290208979; quench=91.63874945639249; 0.251s; cached=False
fig8_f001_c01 M=3.16e+08: completed_cycle; SF=10.611066720342482; quench=68.13884659131594; 0.223s; cached=False
fig8_f001_c01 M=4.64e+08: completed_cycle; SF=12.534606159334794; quench=61.22065735600321; 0.213s; cached=False
fig8_f001_c01 M=6.81e+08: completed_cycle; SF=14.840655356361477; quench=54.49568997628491; 0.196s; cached=False
fig8_f001_c01 M=1e+09: completed_cycle; SF=17.616525892804354; quench=46.51206143724105; 0.184s; cached=False
fig8_f001_c01 M=1.47e+09: completed_cycle; SF=20.97454096717648; quench=27.30730005620002; 0.161s; cached=False
fig8_f001_c01 M=2.15e+09: completed_cycle; SF=25.061864056170208; quench=21.704739443576237; 0.151s; cached=False
