fig2 M=1e+08: completed_cycle; SF=5.599836353178653; quench=297.46478892895925; 0.821s; cached=True
fig8_f001_c0005 M=6.81e+09: not_launched_within_window; SF=None; quench=None; 0.242s; cached=False
fig8_f001_c0005 M=1e+10: not_launched_within_window; SF=None; quench=None; 0.227s; cached=False
fig8_f001_c0005 M=1.47e+10: not_launched_within_window; SF=None; quench=None; 0.215s; cached=False
fig8_f001_c0005 M=2.15e+10: not_launched_within_window; SF=None; quench=None; 0.227s; cached=False
fig8_f001_c0005 M=3.16e+10: not_launched_within_window; SF=None; quench=None; 0.232s; cached=False
fig8_f001_c0005 M=4.64e+10: not_launched_within_window; SF=None; quench=None; 0.222s; cached=False
fig8_f001_c0005 M=6.81e+10: not_launched_within_window; SF=None; quench=None; 0.260s; cached=False
fig8_f001_c0005 M=1e+11: not_launched_within_window; SF=None; quench=None; 0.223s; cached=False
fig8_f001_c0005 M=1.47e+11: not_launched_within_window; SF=None; quench=None; 0.223s; cached=False
fig8_f001_c0005 M=2.15e+11: not_launched_within_window; SF=None; quench=None; 0.258s; cached=False
fig8_f001_c0005 M=3.16e+11: not_launched_within_window; SF=None; quench=None; 0.224s; cached=False
fig8_f001_c0005 M=4.64e+11: not_launched_within_window; SF=None; quench=None; 0.218s; cached=False
fig8_f001_c0005 M=6.81e+11: not_launched_within_window; SF=None; quench=None; 0.261s; cached=False
fig8_f001_c0005 M=1e+12: not_launched_within_window; SF=None; quench=None; 0.224s; cached=False
fig8_f001_c0005 M=1.47e+12: not_launched_within_window; SF=None; quench=None; 0.221s; cached=False
fig8_f001_c0005 M=2.15e+12: not_launched_within_window; SF=None; quench=None; 0.275s; cached=False
fig8_f001_c0005 M=3.16e+12: not_launched_within_window; SF=None; quench=None; 0.226s; cached=False
fig8_f001_c0005 M=4.64e+12: not_launched_within_window; SF=None; quench=None; 0.231s; cached=False
fig8_f001_c0005 M=6.81e+12: not_launched_within_window; SF=None; quench=None; 0.221s; cached=False
